Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,Month,Day
2023-06-30,173.0,177.5,172.5,176.5,169.707581,3927225,3,2023,6,30
2023-07-03,179.0,181.0,178.0,180.0,173.072891,4300160,3,2023,7,3
2023-07-04,179.0,181.0,177.0,179.0,172.111374,3203559,3,2023,7,4
2023-07-05,180.0,180.5,175.5,176.5,169.707581,1972804,3,2023,7,5
2023-07-06,178.0,179.0,174.5,176.0,169.226822,3249130,3,2023,7,6
2023-07-07,174.5,176.0,171.0,173.0,166.34227,3687805,3,2023,7,7
2023-07-10,171.0,177.0,170.0,175.5,168.746063,3074839,3,2023,7,10
2023-07-11,176.5,180.0,176.0,179.5,172.592133,2225871,3,2023,7,11
2023-07-12,180.5,183.5,179.5,182.0,174.995911,3577589,3,2023,7,12
2023-07-13,185.0,194.0,185.0,188.0,180.765015,11316703,3,2023,7,13
2023-07-14,188.5,190.0,179.0,185.0,177.880463,5397500,3,2023,7,14
2023-07-17,184.0,194.5,184.0,188.0,180.765015,5570230,3,2023,7,17
2023-07-18,194.0,198.5,189.0,193.0,185.572586,10392384,3,2023,7,18
2023-07-19,196.0,196.0,185.5,187.0,179.803497,6838101,3,2023,7,19
2023-07-20,186.5,188.0,184.0,186.0,178.84198,3804651,3,2023,7,20
2023-07-21,185.0,193.0,184.0,191.5,184.130325,7605649,3,2023,7,21
2023-07-24,193.0,194.0,188.5,192.0,184.611084,6480338,3,2023,7,24
2023-07-25,197.0,211.0,196.5,211.0,202.879883,9575136,3,2023,7,25
2023-07-26,216.0,216.5,200.0,203.5,195.668518,14789324,3,2023,7,26
2023-07-27,206.0,206.5,195.0,196.0,188.457138,6435420,3,2023,7,27
2023-07-28,197.0,202.0,191.0,201.0,193.264725,6523422,3,2023,7,28
2023-07-31,204.0,204.5,192.5,194.5,187.014862,5164108,3,2023,7,31
2023-08-01,195.0,199.0,189.0,190.5,183.168808,5360362,3,2023,8,1
2023-08-02,193.0,195.0,183.5,186.0,178.84198,6080650,3,2023,8,2
2023-08-04,187.0,187.5,181.5,184.5,177.399704,5263726,3,2023,8,4
2023-08-07,185.0,190.0,184.5,189.0,181.726532,3843478,3,2023,8,7
2023-08-08,190.0,195.0,189.0,192.0,184.611084,6671967,3,2023,8,8
2023-08-09,192.0,200.0,192.0,194.5,187.014862,6978690,3,2023,8,9
2023-08-10,191.5,192.5,183.0,187.5,180.284256,4500978,3,2023,8,10
2023-08-11,185.0,185.0,178.5,179.0,172.111374,5730783,3,2023,8,11
2023-08-14,176.5,179.5,175.0,178.0,171.149857,4858607,3,2023,8,14
2023-08-15,179.0,180.0,175.5,176.5,169.707581,5308047,3,2023,8,15
2023-08-16,174.5,178.5,174.0,178.5,171.630615,5355365,3,2023,8,16
2023-08-17,176.0,179.0,169.5,178.5,171.630615,6729262,3,2023,8,17
2023-08-18,177.5,178.0,172.0,173.0,166.34227,5234788,3,2023,8,18
2023-08-21,172.0,173.0,168.0,170.5,163.938477,5541326,3,2023,8,21
2023-08-22,173.0,175.0,169.0,170.0,163.457718,4581799,3,2023,8,22
2023-08-23,171.5,172.0,168.5,171.5,164.899994,3289013,3,2023,8,23
2023-08-24,175.0,175.0,171.5,173.0,166.34227,3149706,3,2023,8,24
2023-08-25,173.0,174.0,170.5,171.5,164.899994,4941611,3,2023,8,25
2023-08-28,167.0,167.0,160.5,161.5,161.5,4325212,3,2023,8,28
2023-08-29,162.0,162.5,158.0,160.0,160.0,4181055,3,2023,8,29
2023-08-30,163.0,165.5,160.0,161.0,161.0,4239059,3,2023,8,30
2023-08-31,161.0,161.5,158.5,159.5,159.5,6381194,3,2023,8,31
2023-09-01,160.5,161.5,158.5,159.5,159.5,4071008,3,2023,9,1
2023-09-04,160.0,162.0,158.5,161.5,161.5,2857205,3,2023,9,4
2023-09-05,160.5,167.5,160.5,165.0,165.0,4382957,3,2023,9,5
2023-09-06,165.0,167.0,164.0,165.0,165.0,2803318,3,2023,9,6
2023-09-07,164.0,166.5,163.0,164.5,164.5,2904185,3,2023,9,7
2023-09-08,164.0,166.0,162.5,163.5,163.5,2618052,3,2023,9,8
2023-09-11,166.0,168.5,162.0,162.0,162.0,5398245,3,2023,9,11
2023-09-12,164.0,166.0,162.5,164.5,164.5,3280930,3,2023,9,12
2023-09-13,164.5,165.0,162.0,164.5,164.5,3060262,3,2023,9,13
2023-09-14,164.5,168.5,164.5,168.0,168.0,3923974,3,2023,9,14
2023-09-15,168.0,172.0,166.0,171.5,171.5,6125887,3,2023,9,15
2023-09-18,170.0,171.0,168.5,168.5,168.5,4239118,3,2023,9,18
2023-09-19,169.0,170.0,166.0,166.0,166.0,6128044,3,2023,9,19
2023-09-20,167.5,177.5,166.5,175.5,175.5,11635515,3,2023,9,20
2023-09-21,177.0,178.0,171.0,172.5,172.5,10912626,3,2023,9,21
2023-09-22,171.5,172.0,168.0,171.0,171.0,4433654,3,2023,9,22
2023-09-25,172.5,172.5,169.5,170.5,170.5,2368310,3,2023,9,25
2023-09-26,170.5,173.0,167.5,168.5,168.5,4680339,3,2023,9,26
2023-09-27,167.0,168.0,165.5,167.0,167.0,4228058,3,2023,9,27
2023-09-28,167.0,167.5,163.0,164.0,164.0,5749449,3,2023,9,28
2023-10-02,165.0,169.0,164.0,167.5,167.5,3960177,3,2023,10,2
2023-10-03,167.0,169.0,165.0,167.0,167.0,2839485,3,2023,10,3
2023-10-04,165.0,166.0,163.5,164.5,164.5,3479987,3,2023,10,4
2023-10-05,165.0,167.5,164.5,166.5,166.5,1607247,3,2023,10,5
2023-10-06,167.5,169.0,165.5,168.0,168.0,2238721,3,2023,10,6
2023-10-11,173.0,174.0,168.5,168.5,168.5,4366339,3,2023,10,11
2023-10-12,170.0,172.5,169.0,172.5,172.5,3432126,3,2023,10,12
2023-10-13,169.0,170.5,164.0,166.5,166.5,6713387,3,2023,10,13
2023-10-16,165.5,166.0,164.0,164.0,164.0,2119000,3,2023,10,16
2023-10-17,165.5,166.0,162.0,162.0,162.0,2242839,3,2023,10,17
2023-10-18,162.0,163.0,159.0,160.5,160.5,7065412,3,2023,10,18
2023-10-19,159.0,160.0,156.5,159.0,159.0,3412765,3,2023,10,19
2023-10-20,157.5,158.5,154.0,156.5,156.5,4285346,3,2023,10,20
2023-10-23,154.0,160.0,154.0,157.5,157.5,1731478,3,2023,10,23
2023-10-24,157.5,162.5,157.5,161.0,161.0,2604488,3,2023,10,24
2023-10-25,162.0,166.5,162.0,164.5,164.5,2937942,3,2023,10,25
2023-10-26,161.0,166.5,159.0,165.5,165.5,3872090,3,2023,10,26
2023-10-27,165.5,168.5,165.5,167.5,167.5,3560301,3,2023,10,27
2023-10-30,167.5,169.0,165.0,168.0,168.0,3009193,3,2023,10,30
2023-10-31,168.0,169.0,164.0,165.0,165.0,3894362,3,2023,10,31
2023-11-01,166.0,167.0,163.0,166.0,166.0,1986179,3,2023,11,1
2023-11-02,168.0,171.0,168.0,170.5,170.5,3486506,3,2023,11,2
2023-11-03,170.5,171.5,169.0,170.0,170.0,2292575,3,2023,11,3
2023-11-06,171.5,173.0,170.0,172.5,172.5,3954986,3,2023,11,6
2023-11-07,171.5,172.0,170.0,171.0,171.0,2405947,3,2023,11,7
2023-11-08,172.0,174.0,171.0,173.0,173.0,2150924,3,2023,11,8
2023-11-09,173.0,174.0,171.0,172.0,172.0,1581842,3,2023,11,9
2023-11-10,172.5,175.5,172.0,174.5,174.5,3411828,3,2023,11,10
2023-11-13,173.5,173.5,165.5,166.0,166.0,6756793,3,2023,11,13
2023-11-14,166.5,167.5,163.5,166.5,166.5,4335055,3,2023,11,14
2023-11-15,168.5,170.0,168.0,168.0,168.0,4926567,3,2023,11,15
2023-11-16,167.5,167.5,164.0,164.5,164.5,3624902,3,2023,11,16
2023-11-17,165.5,167.0,165.0,166.0,166.0,1705187,3,2023,11,17
2023-11-20,167.0,167.0,164.0,165.0,165.0,2405548,3,2023,11,20
2023-11-21,166.0,171.0,166.0,170.0,170.0,4860201,3,2023,11,21
2023-11-22,169.0,170.5,168.0,169.5,169.5,2624955,3,2023,11,22
2023-11-23,169.5,170.5,168.0,169.0,169.0,2188523,3,2023,11,23
2023-11-24,170.0,171.5,169.0,169.0,169.0,2197826,3,2023,11,24
2023-11-27,169.0,170.5,167.0,167.5,167.5,2136431,3,2023,11,27
2023-11-28,169.0,169.5,166.5,168.0,168.0,3458339,3,2023,11,28
2023-11-29,170.0,183.0,169.0,181.0,181.0,15134098,3,2023,11,29
2023-11-30,183.0,187.0,180.0,183.5,183.5,12428272,3,2023,11,30
2023-12-01,183.5,185.0,181.0,185.0,185.0,6640830,3,2023,12,1
2023-12-04,186.5,187.5,183.0,183.5,183.5,4047003,3,2023,12,4
2023-12-05,180.0,181.5,176.5,178.0,178.0,5980412,3,2023,12,5
2023-12-06,178.0,179.5,176.5,176.5,176.5,5349045,3,2023,12,6
2023-12-07,178.0,180.5,176.5,180.0,180.0,4848018,3,2023,12,7
2023-12-08,182.0,183.5,178.5,179.0,179.0,5637819,3,2023,12,8
2023-12-11,179.0,181.0,176.5,177.0,177.0,4562138,3,2023,12,11
2023-12-12,177.5,179.0,175.5,177.0,177.0,5403356,3,2023,12,12
2023-12-13,179.0,181.0,178.0,178.0,178.0,5152980,3,2023,12,13
2023-12-14,180.5,183.0,179.0,181.5,181.5,5324040,3,2023,12,14
2023-12-15,183.0,183.0,179.0,179.0,179.0,5451250,3,2023,12,15
2023-12-18,179.5,183.0,178.0,180.5,180.5,5185825,3,2023,12,18
2023-12-19,181.0,182.5,178.5,181.5,181.5,5333088,3,2023,12,19
2023-12-20,182.0,190.0,180.5,184.5,184.5,13805634,3,2023,12,20
2023-12-21,182.0,184.0,180.5,181.5,181.5,9108932,3,2023,12,21
2023-12-22,183.0,187.5,183.0,184.0,184.0,7817351,3,2023,12,22
2023-12-25,185.0,196.0,185.0,193.0,193.0,16054644,3,2023,12,25
2023-12-26,194.0,201.5,191.5,195.5,195.5,23136843,3,2023,12,26
2023-12-27,198.5,203.5,198.0,200.0,200.0,13604565,3,2023,12,27
2023-12-28,200.0,203.0,198.5,201.5,201.5,8736459,3,2023,12,28
